fpr,tpr
0.00000000,0.00000000
0.00000000,0.00191571
0.00000000,0.03448276
0.00189394,0.03448276
0.00189394,0.19157088
0.00378788,0.19157088
0.00378788,0.23563218
0.00378788,0.23946360
0.00378788,0.33524904
0.00568182,0.33524904
0.00568182,0.33908046
0.00568182,0.34291188
0.00568182,0.35057471
0.00757576,0.35057471
0.00757576,0.38314176
0.00946970,0.38314176
0.00946970,0.40613027
0.01136364,0.40613027
0.01136364,0.45593870
0.01325758,0.45593870
0.01325758,0.47701149
0.01515152,0.47701149
0.01515152,0.48467433
0.01893939,0.48467433
0.01893939,0.50191571
0.02083333,0.50191571
0.02083333,0.50383142
0.02272727,0.50383142
0.02272727,0.50957854
0.02462121,0.50957854
0.02462121,0.52490421
0.02651515,0.52490421
0.02651515,0.59003831
0.02840909,0.59003831
0.02840909,0.59386973
0.03219697,0.59386973
0.03219697,0.62068966
0.03598485,0.62068966
0.03787879,0.62452107
0.03787879,0.63218391
0.03977273,0.63218391
0.03977273,0.63409962
0.04734848,0.63409962
0.04734848,0.63984674
0.04924242,0.63984674
0.04924242,0.65325670
0.05113636,0.65325670
0.05113636,0.67816092
0.05303030,0.67816092
0.05303030,0.68007663
0.05871212,0.68007663
0.05871212,0.69157088
0.06060606,0.69157088
0.06060606,0.69348659
0.06250000,0.69348659
0.06250000,0.69731801
0.06628788,0.69731801
0.06628788,0.70498084
0.06628788,0.70881226
0.07007576,0.70881226
0.07007576,0.71647510
0.07196970,0.71647510
0.07196970,0.72030651
0.07386364,0.72030651
0.07386364,0.72222222
0.07575758,0.72222222
0.07575758,0.72413793
0.07765152,0.72413793
0.07765152,0.72988506
0.07954545,0.72988506
0.07954545,0.73371648
0.08143939,0.73371648
0.08143939,0.73946360
0.08522727,0.73946360
0.08522727,0.74329502
0.09090909,0.74329502
0.09090909,0.74521073
0.09280303,0.74521073
0.09280303,0.75862069
0.09659091,0.75862069
0.09659091,0.76245211
0.10227273,0.76245211
0.10227273,0.76819923
0.10416667,0.76819923
0.10416667,0.77394636
0.10795455,0.77394636
0.10795455,0.78352490
0.10984848,0.78352490
0.10984848,0.78544061
0.11931818,0.78544061
0.11931818,0.78735632
0.12500000,0.78735632
0.12500000,0.78927203
0.12878788,0.78927203
0.12878788,0.79118774
0.13636364,0.79118774
0.13636364,0.79310345
0.14015152,0.79310345
0.14015152,0.79501916
0.14204545,0.79501916
0.14204545,0.80076628
0.14393939,0.80076628
0.14393939,0.80651341
0.14583333,0.80651341
0.14583333,0.81609195
0.14772727,0.81609195
0.14772727,0.81992337
0.14962121,0.81992337
0.14962121,0.82375479
0.15151515,0.82375479
0.15151515,0.82567050
0.15530303,0.82567050
0.15530303,0.82950192
0.15909091,0.82950192
0.15909091,0.83141762
0.16477273,0.83141762
0.16477273,0.83333333
0.17045455,0.83333333
0.17045455,0.83716475
0.17234848,0.83716475
0.17234848,0.83908046
0.17803030,0.83908046
0.17803030,0.84291188
0.17992424,0.84291188
0.17992424,0.84674330
0.18371212,0.84674330
0.18371212,0.84865900
0.18939394,0.84865900
0.18939394,0.85440613
0.19128788,0.85440613
0.19128788,0.86206897
0.19507576,0.86206897
0.19507576,0.86590038
0.19696970,0.86590038
0.19696970,0.86973180
0.20075758,0.86973180
0.20075758,0.87164751
0.20643939,0.87164751
0.20643939,0.87547893
0.22348485,0.87547893
0.22348485,0.87931034
0.22916667,0.87931034
0.22916667,0.88122605
0.23295455,0.88122605
0.23295455,0.88314176
0.23484848,0.88314176
0.23484848,0.88505747
0.24431818,0.88505747
0.24431818,0.88697318
0.24621212,0.88697318
0.24621212,0.88888889
0.25000000,0.88888889
0.25000000,0.89080460
0.25568182,0.89080460
0.25568182,0.89463602
0.25757576,0.89463602
0.25757576,0.89655172
0.26136364,0.89655172
0.26136364,0.89846743
0.26325758,0.89846743
0.26325758,0.90038314
0.26704545,0.90038314
0.26704545,0.90421456
0.26893939,0.90421456
0.26893939,0.90613027
0.27272727,0.90613027
0.27272727,0.90804598
0.27840909,0.90804598
0.27840909,0.90996169
0.31250000,0.90996169
0.31250000,0.91379310
0.31439394,0.91379310
0.31439394,0.91570881
0.32575758,0.91570881
0.32575758,0.91954023
0.33522727,0.91954023
0.33522727,0.92145594
0.34090909,0.92145594
0.34090909,0.92337165
0.34280303,0.92337165
0.34280303,0.92720307
0.34659091,0.92720307
0.34659091,0.93103448
0.35227273,0.93103448
0.35227273,0.93295019
0.35606061,0.93295019
0.35606061,0.93486590
0.35795455,0.93486590
0.35795455,0.93678161
0.36174242,0.93678161
0.36174242,0.93869732
0.36931818,0.93869732
0.36931818,0.94061303
0.38068182,0.94061303
0.38068182,0.94252874
0.39015152,0.94252874
0.39015152,0.94444444
0.39393939,0.94444444
0.39393939,0.94636015
0.40530303,0.94636015
0.40530303,0.95019157
0.41477273,0.95019157
0.41477273,0.95402299
0.41856061,0.95402299
0.41856061,0.95593870
0.42234848,0.95593870
0.42234848,0.95785441
0.42992424,0.95785441
0.42992424,0.95977011
0.49053030,0.95977011
0.49053030,0.96168582
0.50946970,0.96168582
0.50946970,0.96360153
0.55681818,0.96360153
0.55681818,0.96551724
