fpr,tpr
0.00000000,0.00000000
0.00000000,0.00929368
0.00186220,0.00929368
0.00186220,0.02788104
0.00372439,0.02788104
0.00372439,0.03159851
0.00558659,0.03159851
0.00558659,0.08550186
0.00744879,0.08550186
0.00744879,0.10966543
0.00931099,0.10966543
0.00931099,0.14312268
0.01117318,0.14312268
0.01117318,0.15613383
0.01303538,0.15613383
0.01303538,0.31226766
0.01489758,0.31226766
0.01489758,0.35501859
0.01675978,0.35501859
0.01675978,0.36988848
0.01862197,0.36988848
0.01862197,0.37546468
0.02048417,0.37546468
0.02048417,0.37732342
0.02234637,0.37732342
0.02234637,0.39219331
0.02420857,0.39219331
0.02420857,0.39776952
0.02607076,0.39776952
0.02607076,0.40706320
0.02793296,0.40706320
0.02793296,0.44423792
0.02979516,0.44423792
0.02979516,0.44609665
0.03165736,0.44609665
0.03165736,0.46468401
0.03351955,0.46468401
0.03351955,0.47769517
0.03724395,0.47769517
0.03724395,0.48513011
0.03910615,0.48513011
0.03910615,0.49070632
0.04283054,0.49070632
0.04283054,0.49442379
0.04469274,0.49442379
0.04469274,0.49628253
0.04655493,0.49628253
0.04655493,0.49814126
0.04841713,0.49814126
0.04841713,0.51858736
0.05027933,0.51858736
0.05027933,0.52230483
0.05214153,0.52230483
0.05214153,0.54275093
0.05400372,0.54275093
0.05400372,0.55947955
0.05586592,0.55947955
0.05586592,0.56691450
0.05772812,0.56691450
0.05772812,0.57063197
0.05959032,0.57063197
0.05959032,0.57806691
0.06145251,0.57806691
0.06145251,0.57992565
0.06331471,0.57992565
0.06331471,0.58178439
0.06517691,0.58178439
0.06517691,0.58736059
0.06703911,0.58736059
0.06703911,0.59293680
0.06890130,0.59293680
0.06890130,0.59479554
0.07076350,0.59479554
0.07076350,0.61338290
0.07262570,0.61338290
0.07262570,0.61710037
0.07448790,0.61710037
0.07448790,0.62081784
0.07635009,0.62081784
0.07635009,0.62267658
0.07821229,0.62267658
0.07821229,0.63011152
0.08007449,0.63011152
0.08007449,0.63568773
0.08379888,0.63568773
0.08379888,0.64126394
0.08566108,0.64126394
0.08566108,0.64498141
0.08938547,0.64498141
0.08938547,0.65055762
0.09497207,0.65055762
0.09497207,0.65241636
0.09683426,0.65241636
0.09683426,0.65427509
0.09683426,0.65799257
0.09869646,0.65799257
0.09869646,0.65985130
0.10055866,0.65985130
0.10055866,0.66542751
0.10242086,0.66542751
0.10242086,0.66728625
0.10614525,0.66728625
0.10614525,0.68587361
0.10986965,0.68587361
0.10986965,0.69330855
0.11173184,0.69330855
0.11173184,0.69516729
0.11359404,0.69516729
0.11359404,0.70074349
0.11731844,0.70074349
0.11731844,0.70260223
0.11918063,0.70260223
0.11918063,0.71189591
0.12104283,0.71189591
0.12104283,0.72118959
0.12476723,0.72118959
0.12476723,0.72490706
0.12662942,0.72490706
0.12662942,0.72676580
0.13221601,0.72676580
0.13221601,0.72862454
0.13407821,0.72862454
0.13407821,0.73234201
0.13594041,0.73234201
0.13594041,0.73420074
0.14152700,0.73420074
0.14152700,0.73605948
0.14525140,0.73605948
0.14525140,0.73977695
0.14897579,0.73977695
0.14897579,0.74163569
0.15083799,0.74163569
0.15083799,0.74349442
0.15270019,0.74349442
0.15270019,0.75464684
0.15456238,0.75464684
0.15456238,0.76208178
