recall,precision
0.49904762,1.00000000
0.49952336,1.00000000
0.50000000,1.00000000
0.50047755,1.00000000
0.50095602,1.00000000
0.50143541,1.00000000
0.50239693,1.00000000
0.50287908,1.00000000
0.50336215,1.00000000
0.50288462,0.99809160
0.50336862,0.99809160
0.50385356,0.99809160
0.50433944,0.99809160
0.50482625,0.99809160
0.50531401,0.99809160
0.50580271,0.99809160
0.50629235,0.99809160
0.50678295,0.99809160
0.50776699,0.99809160
0.50875486,0.99809160
0.50925024,0.99809160
0.50974659,0.99809160
0.51024390,0.99809160
0.51074219,0.99809160
0.51224290,0.99809160
0.51274510,0.99809160
0.51324828,0.99809160
0.51375246,0.99809160
0.51425762,0.99809160
0.51476378,0.99809160
0.51527094,0.99809160
0.51577909,0.99809160
0.51628825,0.99809160
0.51679842,0.99809160
0.51782178,0.99809160
0.51833499,0.99809160
0.51884921,0.99809160
0.51936445,0.99809160
0.51988072,0.99809160
0.52039801,0.99809160
0.52091633,0.99809160
0.52143569,0.99809160
0.52195609,0.99809160
0.52247752,0.99809160
0.52300000,0.99809160
0.52352352,0.99809160
0.52404810,0.99809160
0.52457372,0.99809160
0.52510040,0.99809160
0.52562814,0.99809160
0.52615694,0.99809160
0.52668681,0.99809160
0.52721774,0.99809160
0.52774975,0.99809160
0.52881699,0.99809160
0.52935223,0.99809160
0.52988855,0.99809160
0.53042596,0.99809160
0.53096447,0.99809160
0.53150407,0.99809160
0.53204476,0.99809160
0.53258656,0.99809160
0.53312946,0.99809160
0.53367347,0.99809160
0.53421859,0.99809160
0.53476483,0.99809160
0.53531218,0.99809160
0.53586066,0.99809160
0.53696099,0.99809160
0.53751285,0.99809160
0.53806584,0.99809160
0.53861998,0.99809160
0.53917526,0.99809160
0.53973168,0.99809160
0.54028926,0.99809160
0.54084798,0.99809160
0.54196891,0.99809160
0.54309450,0.99809160
0.54365904,0.99809160
0.54535975,0.99809160
0.54592902,0.99809160
0.54649948,0.99809160
0.54707113,0.99809160
0.54764398,0.99809160
0.54821803,0.99809160
0.54879328,0.99809160
0.54936975,0.99809160
0.55052632,0.99809160
0.55110643,0.99809160
0.55168776,0.99809160
0.55227033,0.99809160
0.55285412,0.99809160
0.55343915,0.99809160
0.55402542,0.99809160
0.55461294,0.99809160
0.55520170,0.99809160
0.55579171,0.99809160
0.55638298,0.99809160
0.55697551,0.99809160
0.55756930,0.99809160
0.55816435,0.99809160
0.55935829,0.99809160
0.55995717,0.99809160
0.56055734,0.99809160
0.56115880,0.99809160
0.56176155,0.99809160
0.56236559,0.99809160
0.56297094,0.99809160
0.56357759,0.99809160
0.56418554,0.99809160
0.56540541,0.99809160
0.56601732,0.99809160
0.56663055,0.99809160
0.56724512,0.99809160
0.56786102,0.99809160
0.56847826,0.99809160
0.56909684,0.99809160
0.56971678,0.99809160
0.57096070,0.99809160
0.57158470,0.99809160
0.57221007,0.99809160
0.57283680,0.99809160
0.57346491,0.99809160
0.57409440,0.99809160
0.57472527,0.99809160
0.57535754,0.99809160
0.57488987,0.99618321
0.57552370,0.99618321
0.57615894,0.99618321
0.57679558,0.99618321
0.57743363,0.99618321
0.57807309,0.99618321
0.57871397,0.99618321
0.57935627,0.99618321
0.58064516,0.99618321
0.58129176,0.99618321
0.58193980,0.99618321
0.58258929,0.99618321
0.58324022,0.99618321
0.58389262,0.99618321
0.58342665,0.99427481
0.58408072,0.99427481
0.58473625,0.99427481
0.58539326,0.99427481
0.58671171,0.99427481
0.58737317,0.99427481
0.58803612,0.99427481
0.58870056,0.99427481
0.58936652,0.99427481
0.59003398,0.99427481
0.59070295,0.99427481
0.59137344,0.99427481
0.59204545,0.99427481
0.59271900,0.99427481
0.59339408,0.99427481
0.59407070,0.99427481
0.59474886,0.99427481
0.59542857,0.99427481
0.59610984,0.99427481
0.59679267,0.99427481
0.59747706,0.99427481
0.59816303,0.99427481
0.59885057,0.99427481
0.59953970,0.99427481
0.60023041,0.99427481
0.60092272,0.99427481
0.60161663,0.99427481
0.60231214,0.99427481
0.60300926,0.99427481
0.60370800,0.99427481
0.60440835,0.99427481
0.60511034,0.99427481
0.60581395,0.99427481
0.60651921,0.99427481
0.60722611,0.99427481
0.60793466,0.99427481
0.60864486,0.99427481
0.60935673,0.99427481
0.61007026,0.99427481
0.61150235,0.99427481
0.61104583,0.99236641
0.61176471,0.99236641
0.61248528,0.99236641
0.61320755,0.99236641
0.61393152,0.99236641
0.61465721,0.99236641
0.61538462,0.99236641
0.61611374,0.99236641
0.61684460,0.99236641
0.61757720,0.99236641
0.61831153,0.99236641
0.61904762,0.99236641
0.61978546,0.99236641
0.62052506,0.99236641
0.62126643,0.99236641
0.62200957,0.99236641
0.62275449,0.99236641
0.62350120,0.99236641
0.62424970,0.99236641
0.62500000,0.99236641
0.62575211,0.99236641
0.62650602,0.99236641
0.62605549,0.99045802
0.62681159,0.99045802
0.62636034,0.98854962
0.62711864,0.98854962
0.62787879,0.98854962
0.62742718,0.98664122
0.62818955,0.98664122
0.62773723,0.98473282
0.62850183,0.98473282
0.62926829,0.98473282
0.63003663,0.98473282
0.63080685,0.98473282
0.63157895,0.98473282
0.63235294,0.98473282
0.63312883,0.98473282
0.63390663,0.98473282
0.63468635,0.98473282
0.63546798,0.98473282
0.63501850,0.98282443
0.63580247,0.98282443
0.63658838,0.98282443
0.63737624,0.98282443
0.63816605,0.98282443
0.63895782,0.98282443
0.63975155,0.98282443
0.64054726,0.98282443
0.64134496,0.98282443
0.64214464,0.98282443
0.64294632,0.98282443
0.64375000,0.98282443
0.64455569,0.98282443
0.64536341,0.98282443
0.64617315,0.98282443
0.64698492,0.98282443
0.64654088,0.98091603
0.64609572,0.97900763
0.64691047,0.97900763
0.64772727,0.97900763
0.64854614,0.97900763
0.64936709,0.97900763
0.65019011,0.97900763
0.64974619,0.97709924
0.64930114,0.97519084
0.65012723,0.97519084
0.65095541,0.97519084
0.65178571,0.97519084
0.65134100,0.97328244
0.65217391,0.97328244
0.65300896,0.97328244
0.65384615,0.97328244
0.65468549,0.97328244
0.65552699,0.97328244
0.65637066,0.97328244
0.65721649,0.97328244
0.65806452,0.97328244
0.65762274,0.97137405
0.65847348,0.97137405
0.65932642,0.97137405
0.66018158,0.97137405
0.66103896,0.97137405
0.66189857,0.97137405
0.66145833,0.96946565
0.66232073,0.96946565
0.66318538,0.96946565
0.66274510,0.96755725
0.66361257,0.96755725
0.66317169,0.96564885
0.66404199,0.96564885
0.66491459,0.96564885
0.66578947,0.96564885
