recall,precision
0.49860465,1.00000000
0.49906890,1.00000000
0.49860205,0.99813433
0.49906716,0.99813433
0.49953315,0.99813433
0.50000000,0.99813433
0.49953227,0.99626866
0.49906367,0.99440299
0.49953140,0.99440299
0.50000000,0.99440299
0.50046948,0.99440299
0.50093985,0.99440299
0.50141110,0.99440299
0.50188324,0.99440299
0.50235627,0.99440299
0.50283019,0.99440299
0.50330500,0.99440299
0.50378072,0.99440299
0.50425733,0.99440299
0.50473485,0.99440299
0.50521327,0.99440299
0.50569260,0.99440299
0.50617284,0.99440299
0.50665399,0.99440299
0.50618459,0.99253731
0.50666667,0.99253731
0.50714967,0.99253731
0.50763359,0.99253731
0.50811843,0.99253731
0.50860421,0.99253731
0.50909091,0.99253731
0.50957854,0.99253731
0.51006711,0.99253731
0.51055662,0.99253731
0.51104707,0.99253731
0.51153846,0.99253731
0.51203080,0.99253731
0.51252408,0.99253731
0.51301832,0.99253731
0.51351351,0.99253731
0.51400966,0.99253731
0.51450677,0.99253731
0.51500484,0.99253731
0.51550388,0.99253731
0.51600388,0.99253731
0.51650485,0.99253731
0.51700680,0.99253731
0.51750973,0.99253731
0.51801363,0.99253731
0.51851852,0.99253731
0.51902439,0.99253731
0.51953125,0.99253731
0.52003910,0.99253731
0.52054795,0.99253731
0.52105779,0.99253731
0.52156863,0.99253731
0.52208047,0.99253731
0.52259332,0.99253731
0.52310718,0.99253731
0.52362205,0.99253731
0.52413793,0.99253731
0.52465483,0.99253731
0.52517275,0.99253731
0.52569170,0.99253731
0.52621167,0.99253731
0.52673267,0.99253731
0.52777778,0.99253731
0.52730884,0.99067164
0.52783300,0.99067164
0.52888446,0.99067164
0.52941176,0.99067164
0.52994012,0.99067164
0.53046953,0.99067164
0.53100000,0.99067164
0.53153153,0.99067164
0.53206413,0.99067164
0.53313253,0.99067164
0.53366834,0.99067164
0.53319920,0.98880597
0.53373615,0.98880597
0.53427419,0.98880597
0.53481332,0.98880597
0.53535354,0.98880597
0.53589484,0.98880597
0.53643725,0.98880597
0.53698075,0.98880597
0.53752535,0.98880597
0.53807107,0.98880597
0.53861789,0.98880597
0.53916582,0.98880597
0.53971487,0.98880597
0.54026504,0.98880597
0.54081633,0.98880597
0.54136874,0.98880597
0.54192229,0.98880597
0.54247697,0.98880597
0.54358974,0.98880597
0.54414784,0.98880597
0.54470709,0.98880597
0.54526749,0.98880597
0.54582904,0.98880597
0.54639175,0.98880597
0.54695562,0.98880597
0.54752066,0.98880597
0.54865424,0.98880597
0.54922280,0.98880597
0.54979253,0.98880597
0.55036345,0.98880597
0.55265902,0.98880597
0.55323591,0.98880597
0.55381400,0.98880597
0.55439331,0.98880597
0.55497382,0.98880597
0.55555556,0.98880597
0.55613851,0.98880597
0.55672269,0.98880597
0.55730810,0.98880597
0.55789474,0.98880597
0.55848261,0.98880597
0.55907173,0.98880597
0.55966209,0.98880597
0.56025370,0.98880597
0.56084656,0.98880597
0.56144068,0.98880597
0.56263270,0.98880597
0.56323061,0.98880597
0.56382979,0.98880597
0.56443024,0.98880597
0.56503198,0.98880597
0.56563501,0.98880597
0.56623932,0.98880597
0.56684492,0.98880597
0.56638116,0.98694030
0.56698821,0.98694030
0.56820623,0.98694030
0.56881720,0.98694030
0.56942949,0.98694030
0.57004310,0.98694030
0.57065804,0.98694030
0.57127430,0.98694030
0.57189189,0.98694030
0.57313109,0.98694030
0.57375271,0.98694030
0.57437568,0.98694030
0.57500000,0.98694030
0.57562568,0.98694030
0.57625272,0.98694030
0.57751092,0.98694030
0.57814208,0.98694030
0.57877462,0.98694030
0.57831325,0.98507463
0.57894737,0.98507463
0.57958288,0.98507463
0.58021978,0.98507463
0.57975798,0.98320896
0.58039648,0.98320896
0.58103638,0.98320896
0.58167770,0.98320896
0.58232044,0.98320896
0.58296460,0.98320896
0.58361019,0.98320896
0.58425721,0.98320896
0.58490566,0.98320896
0.58555556,0.98320896
0.58509455,0.98134328
0.58574610,0.98134328
0.58639911,0.98134328
0.58705357,0.98134328
0.58770950,0.98134328
0.58724832,0.97947761
0.58790594,0.97947761
0.58856502,0.97947761
0.58922559,0.97947761
0.58988764,0.97947761
0.59055118,0.97947761
0.59121622,0.97947761
0.59188275,0.97947761
0.59255079,0.97947761
0.59322034,0.97947761
0.59389140,0.97947761
0.59343148,0.97761194
0.59410431,0.97761194
0.59477866,0.97761194
0.59545455,0.97761194
0.59499431,0.97574627
0.59567198,0.97574627
0.59635120,0.97574627
0.59703196,0.97574627
0.59771429,0.97574627
0.59839817,0.97574627
0.59908362,0.97574627
0.59977064,0.97574627
0.60045924,0.97574627
0.60184120,0.97574627
0.60253456,0.97574627
0.60322953,0.97574627
0.60392610,0.97574627
0.60462428,0.97574627
0.60532407,0.97574627
0.60602549,0.97574627
0.60743322,0.97574627
0.60813953,0.97574627
0.60884750,0.97574627
0.60955711,0.97574627
0.61098131,0.97574627
0.61169591,0.97574627
0.61241218,0.97574627
0.61313013,0.97574627
0.61384977,0.97574627
0.61457109,0.97574627
0.61411765,0.97388060
0.61484099,0.97388060
0.61556604,0.97388060
0.61629280,0.97388060
0.61702128,0.97388060
0.61775148,0.97388060
0.61848341,0.97388060
0.61921708,0.97388060
0.61995249,0.97388060
0.62068966,0.97388060
0.62142857,0.97388060
0.62216925,0.97388060
0.62291169,0.97388060
0.62365591,0.97388060
0.62440191,0.97388060
0.62514970,0.97388060
0.62589928,0.97388060
0.62665066,0.97388060
0.62740385,0.97388060
0.62695548,0.97201493
0.62650602,0.97014925
0.62726176,0.97014925
0.62801932,0.97014925
0.62877872,0.97014925
0.62953995,0.97014925
0.63030303,0.97014925
0.63106796,0.97014925
0.63183475,0.97014925
0.63260341,0.97014925
0.63215591,0.96828358
0.63170732,0.96641791
0.63325183,0.96641791
0.63402693,0.96641791
0.63480392,0.96641791
0.63558282,0.96641791
0.63636364,0.96641791
0.63714637,0.96641791
0.63793103,0.96641791
0.63748459,0.96455224
0.63827160,0.96455224
0.63906057,0.96455224
0.63985149,0.96455224
0.63940520,0.96268657
0.64019851,0.96268657
0.64099379,0.96268657
0.64179104,0.96268657
0.64259029,0.96268657
0.64339152,0.96268657
0.64419476,0.96268657
0.64500000,0.96268657
0.64580726,0.96268657
0.64661654,0.96268657
0.64742785,0.96268657
0.64824121,0.96268657
0.64905660,0.96268657
0.64987406,0.96268657
0.65069357,0.96268657
0.65025253,0.96082090
0.65107459,0.96082090
0.65189873,0.96082090
0.65272497,0.96082090
0.65355330,0.96082090
0.65438374,0.96082090
0.65394402,0.95895522
0.65477707,0.95895522
