recall,precision
0.50046512,1.00000000
0.50093110,1.00000000
0.50139795,1.00000000
0.50186567,1.00000000
0.50233427,1.00000000
0.50280374,1.00000000
0.50327409,1.00000000
0.50374532,1.00000000
0.50421743,1.00000000
0.50469043,1.00000000
0.50563910,1.00000000
0.50611477,1.00000000
0.50659134,1.00000000
0.50706880,1.00000000
0.50754717,1.00000000
0.50802644,1.00000000
0.50850662,1.00000000
0.50898770,1.00000000
0.50946970,1.00000000
0.50995261,1.00000000
0.51092118,1.00000000
0.51140684,1.00000000
0.51189343,1.00000000
0.51238095,1.00000000
0.51384909,1.00000000
0.51434034,1.00000000
0.51483254,1.00000000
0.51532567,1.00000000
0.51581975,1.00000000
0.51631478,1.00000000
0.51681076,1.00000000
0.51730769,1.00000000
0.51780558,1.00000000
0.51830443,1.00000000
0.51880424,1.00000000
0.51930502,1.00000000
0.51980676,1.00000000
0.52030948,1.00000000
0.52081317,1.00000000
0.52131783,1.00000000
0.52182347,1.00000000
0.52233010,1.00000000
0.52283771,1.00000000
0.52334630,1.00000000
0.52385589,1.00000000
0.52436647,1.00000000
0.52487805,1.00000000
0.52539062,1.00000000
0.52590420,1.00000000
0.52641879,1.00000000
0.52693438,1.00000000
0.52745098,1.00000000
0.52796860,1.00000000
0.52900688,1.00000000
0.52952756,1.00000000
0.53004926,1.00000000
0.53057199,1.00000000
0.53109576,1.00000000
0.53162055,1.00000000
0.53214639,1.00000000
0.53267327,1.00000000
0.53320119,1.00000000
0.53373016,1.00000000
0.53426018,1.00000000
0.53479125,1.00000000
0.53532338,1.00000000
0.53585657,1.00000000
0.53639083,1.00000000
0.53692615,1.00000000
0.53746254,1.00000000
0.53800000,1.00000000
0.53853854,1.00000000
0.53907816,1.00000000
0.53961886,1.00000000
0.54016064,1.00000000
0.54070352,1.00000000
0.54124748,1.00000000
0.54233871,1.00000000
0.54288597,1.00000000
0.54343434,1.00000000
0.54398382,1.00000000
0.54453441,1.00000000
0.54563895,1.00000000
0.54619289,1.00000000
0.54674797,1.00000000
0.54730417,1.00000000
0.54786151,1.00000000
0.54841998,1.00000000
0.54897959,1.00000000
0.54954035,1.00000000
0.55010225,1.00000000
0.55066530,1.00000000
0.55122951,1.00000000
0.55179487,1.00000000
0.55236140,1.00000000
0.55292909,1.00000000
0.55349794,1.00000000
0.55406797,1.00000000
0.55463918,1.00000000
0.55521156,1.00000000
0.55635988,1.00000000
0.55693582,1.00000000
0.55751295,1.00000000
0.55925156,1.00000000
0.55879292,0.99814126
0.55937500,0.99814126
0.55995829,0.99814126
0.56054280,0.99814126
0.56171548,0.99814126
0.56230366,0.99814126
0.56289308,0.99814126
0.56348374,0.99814126
0.56407563,0.99814126
0.56466877,0.99814126
0.56526316,0.99814126
0.56585880,0.99814126
0.56645570,0.99814126
0.56705385,0.99814126
0.56765328,0.99814126
0.56825397,0.99814126
0.56885593,0.99814126
0.56945917,0.99814126
0.57006369,0.99814126
0.57066950,0.99814126
0.57127660,0.99814126
0.57188498,0.99814126
0.57249467,0.99814126
0.57310566,0.99814126
0.57371795,0.99814126
0.57433155,0.99814126
0.57494647,0.99814126
0.57556270,0.99814126
0.57618026,0.99814126
0.57679914,0.99814126
0.57741935,0.99814126
0.57804090,0.99814126
0.57866379,0.99814126
0.57928803,0.99814126
0.57991361,0.99814126
0.58054054,0.99814126
0.58116883,0.99814126
0.58179848,0.99814126
0.58242950,0.99814126
0.58306189,0.99814126
0.58369565,0.99814126
0.58433079,0.99814126
0.58496732,0.99814126
0.58560523,0.99814126
0.58624454,0.99814126
0.58688525,0.99814126
0.58752735,0.99814126
0.58817087,0.99814126
0.58881579,0.99814126
0.58836443,0.99628253
0.58901099,0.99628253
0.58965897,0.99628253
0.59030837,0.99628253
0.59095921,0.99628253
0.59161148,0.99628253
0.59226519,0.99628253
0.59292035,0.99628253
0.59357697,0.99628253
0.59423503,0.99628253
0.59378468,0.99442379
0.59444444,0.99442379
0.59399333,0.99256506
0.59465479,0.99256506
0.59531773,0.99256506
0.59598214,0.99256506
0.59664804,0.99256506
0.59731544,0.99256506
0.59798432,0.99256506
0.59865471,0.99256506
0.59932660,0.99256506
0.60000000,0.99256506
0.59955006,0.99070632
0.59909910,0.98884758
0.59977452,0.98884758
