fpr,tpr
0.00000000,0.00000000
0.00000000,0.00186220
0.00000000,0.16945996
0.00185874,0.16945996
0.00185874,0.27188082
0.00371747,0.27188082
0.00371747,0.33333333
0.00557621,0.33333333
0.00557621,0.36312849
0.00743494,0.36312849
0.00743494,0.40968343
0.00929368,0.40968343
0.00929368,0.43947858
0.01115242,0.43947858
0.01115242,0.44692737
0.01301115,0.44692737
0.01301115,0.47299814
0.01486989,0.47299814
0.01486989,0.49720670
0.01672862,0.49720670
0.01672862,0.50093110
0.01858736,0.50093110
0.01858736,0.51396648
0.02044610,0.51396648
0.02044610,0.52700186
0.02230483,0.52700186
0.02230483,0.53445065
0.02416357,0.53445065
0.02416357,0.53631285
0.02602230,0.53631285
0.02602230,0.54003724
0.02788104,0.54003724
0.02788104,0.56610801
0.02973978,0.56610801
0.02973978,0.57355680
0.03159851,0.57355680
0.03159851,0.57541899
0.03345725,0.57541899
0.03345725,0.58100559
0.03903346,0.58100559
0.03903346,0.58472998
0.04089219,0.58472998
0.04089219,0.59590317
0.04275093,0.59590317
0.04275093,0.60148976
0.04832714,0.60148976
0.04832714,0.60521415
0.05018587,0.60521415
0.05018587,0.62383613
0.05390335,0.62383613
0.05390335,0.62756052
0.05576208,0.62756052
0.05576208,0.63128492
0.05762082,0.63128492
0.05762082,0.63687151
0.05947955,0.63687151
0.05947955,0.64059590
0.06133829,0.64059590
0.06133829,0.64245810
0.06319703,0.64245810
0.06319703,0.65735568
0.06505576,0.65735568
0.06505576,0.66294227
0.06877323,0.66294227
0.06877323,0.66852886
0.07063197,0.66852886
0.07063197,0.67039106
0.07249071,0.67039106
0.07249071,0.67225326
0.07620818,0.67225326
0.07620818,0.68715084
0.07806691,0.68715084
0.07806691,0.69087523
0.08364312,0.69087523
0.08364312,0.69646182
0.08550186,0.69646182
0.08550186,0.70018622
0.08921933,0.70018622
0.08921933,0.70949721
0.09293680,0.70949721
0.09293680,0.71135940
0.09479554,0.71135940
0.09479554,0.71508380
0.09665428,0.71508380
0.09665428,0.71880819
0.10408922,0.71880819
0.10408922,0.72253259
0.10594796,0.72253259
0.10594796,0.72625698
0.10780669,0.72625698
0.10780669,0.72998138
0.11152416,0.72998138
0.11152416,0.73184358
0.11338290,0.73184358
0.11338290,0.74487896
0.11710037,0.74487896
0.11710037,0.74674115
0.11895911,0.74674115
0.11895911,0.75232775
0.12081784,0.75232775
0.12081784,0.75418994
0.12453532,0.75418994
0.12453532,0.75605214
0.12453532,0.76350093
0.12453532,0.76722533
0.12453532,0.77281192
0.12639405,0.77281192
0.12639405,0.77467412
0.12825279,0.77467412
0.12825279,0.77839851
0.13011152,0.77839851
0.13011152,0.78398510
0.13382900,0.78398510
0.13382900,0.78584730
0.13568773,0.78584730
0.13568773,0.79515829
0.13940520,0.79515829
0.13940520,0.80260708
0.14126394,0.80260708
0.14126394,0.80633147
0.14312268,0.80633147
0.14312268,0.80819367
0.14684015,0.80819367
0.14684015,0.81005587
0.15241636,0.81005587
0.15241636,0.81191806
0.16171004,0.81191806
0.16171004,0.81378026
0.16914498,0.81378026
0.16914498,0.81564246
0.17286245,0.81564246
0.17286245,0.81750466
0.17657993,0.81750466
0.17657993,0.82122905
0.17843866,0.82122905
0.17843866,0.82309125
0.18029740,0.82309125
0.18029740,0.82681564
0.18029740,0.83054004
0.18401487,0.83054004
0.18401487,0.83612663
0.18587361,0.83612663
0.18587361,0.83798883
0.18959108,0.83798883
0.18959108,0.84171322
0.19144981,0.84171322
0.19144981,0.84543762
0.19516729,0.84543762
0.19516729,0.84729981
0.19702602,0.84729981
0.19702602,0.85288641
0.20446097,0.85288641
0.20446097,0.85847300
0.20817844,0.85847300
0.20817844,0.86033520
0.21561338,0.86033520
0.21561338,0.86219739
0.22676580,0.86219739
0.22676580,0.86405959
0.22862454,0.86405959
0.22862454,0.86592179
0.23234201,0.86592179
0.23234201,0.86964618
0.23420074,0.86964618
0.23420074,0.87523277
0.23791822,0.87523277
0.23791822,0.87895717
0.24163569,0.87895717
0.24163569,0.88081937
0.24721190,0.88081937
0.24721190,0.88268156
0.24907063,0.88268156
0.24907063,0.88454376
0.25278810,0.88454376
0.25278810,0.88826816
0.26765799,0.88826816
0.26765799,0.89013035
0.27323420,0.89013035
0.27323420,0.89199255
0.27695167,0.89199255
0.27695167,0.89385475
0.28066914,0.89385475
0.28066914,0.89571695
0.28252788,0.89571695
0.28252788,0.90130354
0.30297398,0.90130354
0.30297398,0.90316574
0.30669145,0.90316574
0.30669145,0.90689013
0.32342007,0.90689013
0.32342007,0.90875233
0.33271375,0.90875233
0.33271375,0.91247672
0.34200743,0.91247672
0.34200743,0.91433892
0.34944238,0.91433892
0.34944238,0.91620112
0.35130112,0.91620112
0.35130112,0.91806331
0.35315985,0.91806331
0.35315985,0.91992551
0.35315985,0.92364991
0.35315985,0.92551210
0.37732342,0.92551210
0.37732342,0.92737430
0.38104089,0.92737430
0.38104089,0.93109870
0.38289963,0.93109870
0.38289963,0.93296089
0.38661710,0.93296089
0.38661710,0.93482309
0.39405204,0.93482309
0.39405204,0.93854749
0.39776952,0.93854749
0.39776952,0.94227188
0.40520446,0.94227188
0.40520446,0.94413408
0.42379182,0.94413408
0.42379182,0.94785847
0.43680297,0.94785847
0.43680297,0.94972067
0.43866171,0.94972067
0.43866171,0.95158287
0.44237918,0.95158287
0.44237918,0.95344507
0.46282528,0.95344507
0.46282528,0.95716946
0.46468401,0.95716946
0.46468401,0.95903166
0.46468401,0.96275605
0.46840149,0.96275605
0.46840149,0.96461825
0.47026022,0.96461825
0.47026022,0.96648045
0.47583643,0.96648045
0.47583643,0.97206704
0.47769517,0.97206704
0.47769517,0.97392924
0.48513011,0.97392924
0.48513011,0.97765363
0.50929368,0.97765363
0.51301115,0.97765363
0.51301115,0.97951583
0.51486989,0.97951583
0.51486989,0.98137803
0.54275093,0.98137803
0.54275093,0.98324022
0.54832714,0.98324022
0.54832714,0.98510242
0.58364312,0.98510242
0.58364312,0.98882682
0.60780669,0.98882682
0.60780669,0.99068901
0.64126394,0.99068901
0.64126394,0.99255121
0.64312268,0.99255121
0.64684015,0.99255121
0.66914498,0.99255121
0.67286245,0.99255121
0.67843866,0.99255121
0.68401487,0.99255121
0.68773234,0.99255121
0.68773234,0.99441341
0.69516729,0.99441341
0.69888476,0.99441341
0.70074349,0.99441341
0.70446097,0.99441341
0.70817844,0.99441341
0.71189591,0.99441341
0.71561338,0.99441341
0.71561338,0.99627561
0.71933086,0.99627561
0.76022305,0.99627561
0.76022305,0.99813780
0.77137546,0.99813780
0.77509294,0.99813780
0.78252788,0.99813780
0.78624535,0.99813780
0.78996283,0.99813780
0.79368030,0.99813780
0.81784387,0.99813780
0.82156134,0.99813780
0.84572491,0.99813780
0.84572491,1.00000000
0.85501859,1.00000000
0.85873606,1.00000000
0.86431227,1.00000000
0.86802974,1.00000000
0.86988848,1.00000000
0.87360595,1.00000000
0.97211896,1.00000000
0.97583643,1.00000000
0.97769517,1.00000000
0.98141264,1.00000000
1.00000000,1.00000000
