fpr,tpr
0.00000000,0.00000000
0.00000000,0.00929368
0.00000000,0.14684015
0.00186220,0.14684015
0.00186220,0.20817844
0.00372439,0.20817844
0.00372439,0.29553903
0.00558659,0.29553903
0.00558659,0.29925651
0.00744879,0.29925651
0.00744879,0.35315985
0.00931099,0.35315985
0.00931099,0.35873606
0.00931099,0.36245353
0.00931099,0.42750929
0.01117318,0.42750929
0.01117318,0.47583643
0.01303538,0.47583643
0.01303538,0.51115242
0.01489758,0.51115242
0.01489758,0.52044610
0.01862197,0.52044610
0.01862197,0.53903346
0.02048417,0.53903346
0.02048417,0.54460967
0.02234637,0.54460967
0.02234637,0.54832714
0.02420857,0.54832714
0.02420857,0.55018587
0.02607076,0.55018587
0.02607076,0.56319703
0.02793296,0.56319703
0.02793296,0.56505576
0.02979516,0.56505576
0.02979516,0.56877323
0.03165736,0.56877323
0.03165736,0.58364312
0.03165736,0.58736059
0.03165736,0.59665428
0.03538175,0.59665428
0.03538175,0.60594796
0.03724395,0.60594796
0.03724395,0.60966543
0.03910615,0.60966543
0.03910615,0.61710037
0.04096834,0.61710037
0.04096834,0.62453532
0.04283054,0.62453532
0.04283054,0.62825279
0.04469274,0.62825279
0.04469274,0.63382900
0.04469274,0.63754647
0.04655493,0.63754647
0.04655493,0.64312268
0.05027933,0.64312268
0.05027933,0.66171004
0.05214153,0.66171004
0.05214153,0.66542751
0.05586592,0.66542751
0.05586592,0.67843866
0.05772812,0.67843866
0.05772812,0.69516729
0.05959032,0.69516729
0.05959032,0.72490706
0.06145251,0.72490706
0.06145251,0.72676580
0.06331471,0.72676580
0.06331471,0.73048327
0.06517691,0.73048327
0.06517691,0.73234201
0.06703911,0.73234201
0.06703911,0.73420074
0.06890130,0.73420074
0.06890130,0.73977695
0.07076350,0.73977695
0.07076350,0.75092937
0.07262570,0.75092937
0.07262570,0.75836431
0.08007449,0.75836431
0.08007449,0.77137546
0.08193669,0.77137546
0.08193669,0.77509294
0.08379888,0.77509294
0.08379888,0.78066914
0.08566108,0.78066914
0.08566108,0.78252788
0.08938547,0.78252788
0.08938547,0.78624535
0.09124767,0.78624535
0.09124767,0.78810409
0.09310987,0.78810409
0.09310987,0.78996283
0.09497207,0.78996283
0.09497207,0.79182156
0.09683426,0.79182156
0.09683426,0.79739777
0.09869646,0.79739777
0.09869646,0.80855019
0.10242086,0.80855019
0.10242086,0.81412639
0.10614525,0.81412639
0.10614525,0.81598513
0.10800745,0.81598513
0.10800745,0.81784387
0.10986965,0.81784387
0.10986965,0.81970260
0.11173184,0.81970260
0.11173184,0.82156134
0.11359404,0.82156134
0.11359404,0.82342007
0.11545624,0.82342007
0.11545624,0.82713755
0.12290503,0.82713755
0.12290503,0.82899628
0.13035382,0.82899628
0.13035382,0.83085502
0.13407821,0.83085502
0.13407821,0.84014870
0.13780261,0.84014870
0.13780261,0.84572491
0.14152700,0.84572491
0.14152700,0.84758364
0.15083799,0.84758364
0.15083799,0.84944238
0.15270019,0.84944238
0.15270019,0.85315985
0.15270019,0.85501859
0.15456238,0.85501859
0.15456238,0.85687732
0.15828678,0.85687732
0.15828678,0.86059480
0.16387337,0.86059480
0.16387337,0.86245353
0.16759777,0.86245353
0.16759777,0.86617100
0.16759777,0.86802974
0.16945996,0.86802974
