fpr,tpr
0.00000000,0.00000000
0.00000000,0.00191205
0.00189753,0.00191205
0.00189753,0.08795411
0.00379507,0.08795411
0.00379507,0.18929254
0.00569260,0.18929254
0.00569260,0.20076482
0.00759013,0.20076482
0.00759013,0.20458891
0.00948767,0.20458891
0.00948767,0.23709369
0.01138520,0.23709369
0.01138520,0.25430210
0.01328273,0.25430210
0.01328273,0.35181644
0.01518027,0.35181644
0.01518027,0.35372849
0.01707780,0.35372849
0.01707780,0.37858509
0.01897533,0.37858509
0.01897533,0.39005736
0.02087287,0.39005736
0.02087287,0.42065010
0.02277040,0.42065010
0.02277040,0.42256214
0.02466793,0.42256214
0.02466793,0.46271511
0.02656546,0.46271511
0.02656546,0.48565966
0.02846300,0.48565966
0.02846300,0.51051625
0.03036053,0.51051625
0.03036053,0.51625239
0.03225806,0.51625239
0.03225806,0.51816444
0.03415560,0.51816444
0.03415560,0.53537285
0.03605313,0.53537285
0.03605313,0.54110899
0.03795066,0.54110899
0.03795066,0.54493308
0.03984820,0.54493308
0.03984820,0.54684512
0.04174573,0.54684512
0.04174573,0.55066922
0.04364326,0.55066922
0.04364326,0.57552581
0.04554080,0.57552581
0.04554080,0.58891013
0.04743833,0.58891013
0.04743833,0.60420650
0.05123340,0.60420650
0.05123340,0.60803059
0.05313093,0.60803059
0.05313093,0.61567878
0.05502846,0.61567878
0.05502846,0.62332696
0.05692600,0.62332696
0.05692600,0.62523901
0.05882353,0.62523901
0.05882353,0.63862333
0.06072106,0.63862333
0.06072106,0.64244742
0.06261860,0.64244742
0.06261860,0.65009560
0.06831120,0.65009560
0.06831120,0.66347992
0.07210626,0.66347992
0.07210626,0.66539197
0.07400380,0.66539197
0.07400380,0.69598470
0.07590133,0.69598470
0.07590133,0.70745698
0.08159393,0.70745698
0.08159393,0.71319312
0.08349146,0.71319312
0.08349146,0.71510516
0.08538899,0.71510516
0.08538899,0.71701721
0.08728653,0.71701721
0.08728653,0.71892925
0.08918406,0.71892925
0.08918406,0.72084130
0.09108159,0.72084130
0.09108159,0.72275335
0.09487666,0.72275335
0.09487666,0.72657744
0.10056926,0.72657744
0.10056926,0.73613767
0.10626186,0.73613767
0.10626186,0.74187380
0.10815939,0.74187380
0.10815939,0.74378585
0.11005693,0.74378585
0.11005693,0.74569790
0.11385199,0.74569790
0.11385199,0.74760994
0.11764706,0.74760994
0.11764706,0.74952199
0.11954459,0.74952199
0.11954459,0.76290631
0.12144213,0.76290631
0.12144213,0.76673040
0.12333966,0.76673040
0.12333966,0.77055449
0.12523719,0.77055449
0.12523719,0.78393881
0.12713472,0.78393881
0.12713472,0.78967495
0.13092979,0.78967495
0.13092979,0.79158700
0.13282732,0.79158700
0.13282732,0.79349904
