fpr,tpr
0.00000000,0.00000000
0.00000000,0.00190476
0.00000000,0.00571429
0.00000000,0.05714286
0.00190476,0.05714286
0.00190476,0.06476190
0.00190476,0.07047619
0.00190476,0.11047619
0.00380952,0.11047619
0.00380952,0.19809524
0.00571429,0.19809524
0.00571429,0.22095238
0.00761905,0.22095238
0.00761905,0.25142857
0.00952381,0.25142857
0.00952381,0.29142857
0.01142857,0.29142857
0.01142857,0.33142857
0.01333333,0.33142857
0.01333333,0.33523810
0.01523810,0.33523810
0.01523810,0.37333333
0.01714286,0.37333333
0.01714286,0.42666667
0.01904762,0.42666667
0.01904762,0.48000000
0.02095238,0.48000000
0.02095238,0.51809524
0.02476190,0.51809524
0.02476190,0.52190476
0.02666667,0.52190476
0.02666667,0.52380952
0.02857143,0.52380952
0.02857143,0.53142857
0.03047619,0.53142857
0.03047619,0.54285714
0.03238095,0.54285714
0.03238095,0.54476190
0.03428571,0.54476190
0.03428571,0.55238095
0.03619048,0.55238095
0.03619048,0.56761905
0.03809524,0.56761905
0.03809524,0.59238095
0.04000000,0.59238095
0.04000000,0.60000000
0.04190476,0.60000000
0.04190476,0.60571429
0.04380952,0.60571429
0.04380952,0.61714286
0.05142857,0.61714286
0.05142857,0.63428571
0.05333333,0.63428571
0.05333333,0.64952381
0.05523810,0.64952381
0.05523810,0.67047619
0.05714286,0.67047619
0.05714286,0.67619048
0.05904762,0.67619048
0.05904762,0.68000000
0.06095238,0.68000000
0.06095238,0.68190476
0.06285714,0.68190476
0.06285714,0.69714286
0.06476190,0.69714286
0.06476190,0.71047619
0.06857143,0.71047619
0.06857143,0.71428571
0.07047619,0.71428571
0.07047619,0.72190476
0.07238095,0.72190476
0.07238095,0.72761905
0.07428571,0.72761905
0.07428571,0.72952381
0.07619048,0.72952381
0.07619048,0.73333333
0.07809524,0.73333333
0.07809524,0.74095238
0.08000000,0.74095238
0.08000000,0.74476190
0.08190476,0.74476190
0.08190476,0.75047619
0.08571429,0.75047619
0.08571429,0.76000000
0.08761905,0.76000000
0.08761905,0.76190476
0.09142857,0.76190476
0.09142857,0.76380952
0.09333333,0.76380952
0.09333333,0.76571429
0.09523810,0.76571429
0.09523810,0.77142857
0.09714286,0.77142857
0.09714286,0.77333333
0.09904762,0.77333333
0.09904762,0.77714286
0.10285714,0.77714286
0.10285714,0.77904762
0.10857143,0.77904762
0.10857143,0.78666667
0.11047619,0.78666667
0.11047619,0.79619048
0.11238095,0.79619048
0.11238095,0.80000000
0.12571429,0.80000000
0.12571429,0.80380952
0.12761905,0.80380952
0.12761905,0.80571429
0.12952381,0.80571429
0.12952381,0.80952381
0.13142857,0.80952381
0.13142857,0.81142857
0.13333333,0.81142857
0.13333333,0.81333333
0.14095238,0.81333333
0.14095238,0.81523810
0.14285714,0.81523810
0.14285714,0.81714286
0.14666667,0.81714286
0.14666667,0.82095238
0.15238095,0.82095238
0.15238095,0.82476190
0.15428571,0.82476190
0.15428571,0.82857143
0.15619048,0.82857143
0.15619048,0.83047619
0.16000000,0.83047619
0.16000000,0.83619048
0.16952381,0.83619048
0.16952381,0.84000000
0.17142857,0.84000000
0.17142857,0.84190476
0.17904762,0.84190476
0.17904762,0.84571429
0.18285714,0.84571429
0.18285714,0.85333333
0.18666667,0.85333333
0.18666667,0.85523810
0.19047619,0.85523810
0.19047619,0.85714286
0.19238095,0.85714286
0.19238095,0.85904762
0.19428571,0.85904762
0.19428571,0.86285714
0.19619048,0.86285714
0.19619048,0.86666667
0.21333333,0.86666667
0.21333333,0.86857143
0.22095238,0.86857143
0.22095238,0.87047619
0.23047619,0.87047619
0.23047619,0.87238095
0.24190476,0.87238095
0.24190476,0.88761905
0.24571429,0.88761905
0.24571429,0.88952381
0.24952381,0.88952381
0.24952381,0.89142857
0.25333333,0.89142857
0.25333333,0.89333333
0.25523810,0.89333333
0.25523810,0.89523810
0.25904762,0.89523810
0.25904762,0.89714286
0.26095238,0.89714286
0.26095238,0.89904762
0.26476190,0.89904762
0.26476190,0.90095238
0.26666667,0.90095238
0.26666667,0.90285714
0.26857143,0.90285714
0.26857143,0.90476190
0.28000000,0.90476190
0.28000000,0.90666667
0.28571429,0.90666667
0.28571429,0.90857143
0.28952381,0.90857143
0.28952381,0.91238095
0.29333333,0.91238095
0.29333333,0.91809524
0.29523810,0.91809524
0.29523810,0.92000000
0.29904762,0.92000000
0.29904762,0.92380952
0.30857143,0.92380952
0.30857143,0.92571429
0.31047619,0.92571429
0.31047619,0.92761905
0.31619048,0.92761905
0.31619048,0.92952381
0.31809524,0.92952381
0.31809524,0.93142857
0.32190476,0.93142857
0.32190476,0.93523810
0.33333333,0.93523810
0.33333333,0.93714286
0.34095238,0.93714286
0.34095238,0.94095238
0.34666667,0.94095238
0.34666667,0.94476190
0.34857143,0.94476190
0.34857143,0.94666667
0.36571429,0.94666667
0.36571429,0.94857143
0.41333333,0.94857143
0.41333333,0.95047619
0.42095238,0.95047619
0.42095238,0.95238095
0.42285714,0.95238095
0.42666667,0.95238095
0.43047619,0.95238095
0.43047619,0.95428571
0.43238095,0.95428571
0.43238095,0.96000000
0.45142857,0.96000000
0.45142857,0.96190476
0.45523810,0.96190476
0.45523810,0.96380952
0.46857143,0.96380952
0.46857143,0.96571429
0.47428571,0.96571429
0.47428571,0.96761905
0.48000000,0.96761905
0.48380952,0.96761905
0.48571429,0.96761905
0.48571429,0.96952381
0.51619048,0.96952381
0.51619048,0.97142857
0.51809524,0.97142857
0.51809524,0.97333333
0.52190476,0.97333333
0.52190476,0.97523810
0.53714286,0.97523810
0.53714286,0.97714286
0.55428571,0.97714286
0.55428571,0.97904762
0.55809524,0.97904762
0.55809524,0.98095238
0.56000000,0.98095238
0.56000000,0.98285714
0.59809524,0.98285714
0.60190476,0.98285714
0.61714286,0.98285714
0.61714286,0.98476190
0.63809524,0.98476190
0.63809524,0.98666667
0.64190476,0.98666667
0.64190476,0.98857143
0.64761905,0.98857143
0.65142857,0.98857143
0.69714286,0.98857143
0.69714286,0.99047619
0.70476190,0.99047619
0.70857143,0.99047619
0.72761905,0.99047619
0.73142857,0.99047619
0.76380952,0.99047619
0.76380952,0.99238095
0.76952381,0.99238095
0.76952381,0.99428571
0.77714286,0.99428571
0.77714286,0.99619048
0.80380952,0.99619048
0.80761905,0.99619048
0.89523810,0.99619048
0.89523810,0.99809524
0.90476190,0.99809524
0.90857143,0.99809524
0.91238095,0.99809524
