fpr,tpr
0.00000000,0.00000000
0.00000000,0.00950570
0.00000000,0.12547529
0.00190840,0.12547529
0.00190840,0.22243346
0.00381679,0.22243346
0.00381679,0.25475285
0.00572519,0.25475285
0.00572519,0.26235741
0.00763359,0.26235741
0.00763359,0.39353612
0.00954198,0.39353612
0.00954198,0.43916350
0.01145038,0.43916350
0.01145038,0.44106464
0.01335878,0.44106464
0.01335878,0.45817490
0.01717557,0.45817490
0.01717557,0.47148289
0.01908397,0.47148289
0.01908397,0.53041825
0.02099237,0.53041825
0.02099237,0.53231939
0.02862595,0.53231939
0.02862595,0.55513308
0.03053435,0.55513308
0.03053435,0.56844106
0.03625954,0.56844106
0.03625954,0.57034221
0.03816794,0.57034221
0.03816794,0.57604563
0.03816794,0.57984791
0.03816794,0.58174905
0.04007634,0.58174905
0.04007634,0.59885932
0.04198473,0.59885932
0.04198473,0.60456274
0.04389313,0.60456274
0.04389313,0.61977186
0.04770992,0.61977186
0.04770992,0.62167300
0.05152672,0.62167300
0.05152672,0.64638783
0.05343511,0.64638783
0.05343511,0.68060837
0.05725191,0.68060837
0.05725191,0.68250951
0.05916031,0.68250951
0.05916031,0.68821293
0.06106870,0.68821293
0.06106870,0.69011407
0.06488550,0.69011407
0.06488550,0.69771863
0.06679389,0.69771863
0.06679389,0.70342205
0.06870229,0.70342205
0.06870229,0.71102662
0.07061069,0.71102662
0.07061069,0.71673004
0.07251908,0.71673004
0.07251908,0.71863118
0.07442748,0.71863118
0.07442748,0.72433460
0.07824427,0.72433460
0.07824427,0.72813688
0.08015267,0.72813688
0.08015267,0.73764259
0.08206107,0.73764259
0.08206107,0.74524715
0.08587786,0.74524715
0.08587786,0.75285171
0.08778626,0.75285171
0.08778626,0.75475285
0.09160305,0.75475285
0.09351145,0.75475285
0.09351145,0.75665399
0.09541985,0.75665399
0.09541985,0.76425856
0.09732824,0.76425856
0.09732824,0.76615970
0.09923664,0.76615970
0.09923664,0.76806084
0.10114504,0.76806084
0.10114504,0.77186312
0.10305344,0.77186312
0.10305344,0.77376426
0.10687023,0.77376426
0.10687023,0.77946768
0.11068702,0.77946768
0.11068702,0.78517110
0.11259542,0.78517110
0.11259542,0.78707224
0.11259542,0.79087452
0.11641221,0.79087452
0.11641221,0.79277567
0.11832061,0.79277567
0.11832061,0.79657795
0.12404580,0.79657795
0.12404580,0.80038023
0.12977099,0.80038023
0.13358779,0.80038023
0.13740458,0.80038023
0.13740458,0.80608365
0.14503817,0.80608365
0.14503817,0.81178707
0.14694656,0.81178707
0.14694656,0.81368821
0.15076336,0.81368821
0.15076336,0.81749049
0.15458015,0.81749049
0.15458015,0.82509506
0.15648855,0.82509506
0.15648855,0.82699620
0.15839695,0.82699620
0.15839695,0.83269962
0.16412214,0.83269962
0.16412214,0.83460076
0.16603053,0.83460076
0.16603053,0.83840304
0.16793893,0.83840304
0.16793893,0.84030418
0.16984733,0.84030418
0.16984733,0.84220532
0.17366412,0.84220532
0.17366412,0.84600760
0.17557252,0.84600760
0.17557252,0.84790875
0.17748092,0.84790875
0.17748092,0.84980989
0.17938931,0.84980989
0.17938931,0.85171103
0.18511450,0.85171103
0.18511450,0.85361217
0.18893130,0.85361217
0.18893130,0.85931559
0.19274809,0.85931559
0.19274809,0.86121673
0.19465649,0.86121673
0.19465649,0.86311787
0.19656489,0.86311787
0.19656489,0.86501901
0.20229008,0.86501901
0.20229008,0.86882129
0.20801527,0.86882129
0.20801527,0.87262357
0.21564885,0.87262357
0.21564885,0.87642586
0.22328244,0.87642586
0.22328244,0.87832700
0.23091603,0.87832700
0.23091603,0.88022814
0.23282443,0.88022814
0.23282443,0.88212928
0.24045802,0.88212928
0.24045802,0.88593156
0.25381679,0.88593156
0.25381679,0.88783270
0.25572519,0.88783270
0.25572519,0.89353612
0.26145038,0.89353612
0.26145038,0.89543726
0.26335878,0.89543726
0.26335878,0.89923954
0.27290076,0.89923954
0.27290076,0.90304183
0.27480916,0.90304183
0.27480916,0.90874525
0.27862595,0.90874525
0.27862595,0.91064639
0.28435115,0.91064639
0.28435115,0.91254753
0.29198473,0.91254753
0.29198473,0.91444867
0.29389313,0.91444867
0.29389313,0.91825095
0.29580153,0.91825095
0.29580153,0.92205323
0.29770992,0.92205323
0.29770992,0.92395437
0.29961832,0.92395437
0.29961832,0.92585551
0.30725191,0.92585551
0.30725191,0.92775665
0.31870229,0.92775665
0.31870229,0.93155894
0.32061069,0.93155894
0.32061069,0.93346008
0.32824427,0.93346008
0.32824427,0.93536122
0.33015267,0.93536122
0.33015267,0.93726236
0.33778626,0.93726236
0.33778626,0.94296578
0.34732824,0.94296578
0.34732824,0.94486692
0.34923664,0.94486692
0.34923664,0.94866920
0.35496183,0.94866920
0.35496183,0.95057034
0.36832061,0.95057034
0.36832061,0.95247148
0.37022901,0.95247148
0.37022901,0.95437262
0.38358779,0.95437262
0.38358779,0.95627376
0.39694656,0.95627376
0.39694656,0.95817490
0.39885496,0.95817490
0.39885496,0.96197719
0.40267176,0.96197719
0.40267176,0.96387833
0.41412214,0.96387833
0.41412214,0.96577947
0.42366412,0.96577947
0.42366412,0.96768061
0.42938931,0.96768061
0.42938931,0.97338403
0.43129771,0.97338403
0.43129771,0.97528517
0.46183206,0.97528517
0.46183206,0.97718631
0.48091603,0.97718631
0.48091603,0.97908745
0.48282443,0.97908745
0.48282443,0.98098859
0.48473282,0.98098859
0.48473282,0.98288973
0.50381679,0.98288973
0.50381679,0.98479087
0.56488550,0.98479087
0.56488550,0.98669202
0.60114504,0.98669202
0.60114504,0.98859316
0.62022901,0.98859316
0.62022901,0.99049430
0.64503817,0.99049430
0.64503817,0.99239544
0.64694656,0.99239544
0.64694656,0.99429658
0.69465649,0.99429658
0.69465649,0.99619772
0.70229008,0.99619772
0.70229008,0.99809886
0.77671756,0.99809886
0.77671756,1.00000000
0.82442748,1.00000000
0.82824427,1.00000000
0.84351145,1.00000000
0.84923664,1.00000000
0.85496183,1.00000000
0.85877863,1.00000000
0.88931298,1.00000000
0.89312977,1.00000000
0.90648855,1.00000000
0.91030534,1.00000000
0.98854962,1.00000000
0.99236641,1.00000000
1.00000000,1.00000000
