recall,precision
0.49523810,1.00000000
0.49571020,1.00000000
0.49618321,1.00000000
0.49665712,1.00000000
0.49713193,1.00000000
0.49760766,1.00000000
0.49856184,1.00000000
0.49951969,1.00000000
0.50000000,1.00000000
0.50048123,1.00000000
0.50096339,1.00000000
0.50144648,1.00000000
0.50193050,1.00000000
0.50241546,1.00000000
0.50290135,1.00000000
0.50338819,1.00000000
0.50387597,1.00000000
0.50436469,1.00000000
0.50485437,1.00000000
0.50534500,1.00000000
0.50583658,1.00000000
0.50632911,1.00000000
0.50682261,1.00000000
0.50731707,1.00000000
0.50781250,1.00000000
0.50830890,1.00000000
0.50880626,1.00000000
0.50930460,1.00000000
0.50980392,1.00000000
0.51030422,1.00000000
0.51080550,1.00000000
0.51130777,1.00000000
0.51181102,1.00000000
0.51133005,0.99807692
0.51084813,0.99615385
0.51135242,0.99615385
0.51086957,0.99423077
0.51137488,0.99423077
0.51089109,0.99230769
0.51139742,0.99230769
0.51190476,0.99230769
0.51241311,0.99230769
0.51292247,0.99230769
0.51343284,0.99230769
0.51394422,0.99230769
0.51445663,0.99230769
0.51497006,0.99230769
0.51548452,0.99230769
0.51703407,0.99230769
0.51755266,0.99230769
0.51807229,0.99230769
0.51859296,0.99230769
0.51911469,0.99230769
0.52016129,0.99230769
0.52068618,0.99230769
0.52173913,0.99230769
0.52226721,0.99230769
0.52279635,0.99230769
0.52332657,0.99230769
0.52385787,0.99230769
0.52439024,0.99230769
0.52492370,0.99230769
0.52545825,0.99230769
0.52599388,0.99230769
0.52653061,0.99230769
0.52706844,0.99230769
0.52760736,0.99230769
0.52814739,0.99230769
0.52868852,0.99230769
0.52923077,0.99230769
0.52977413,0.99230769
0.53031860,0.99230769
0.53086420,0.99230769
0.53141092,0.99230769
0.53195876,0.99230769
0.53250774,0.99230769
0.53305785,0.99230769
0.53360910,0.99230769
0.53416149,0.99230769
0.53638254,0.99230769
0.53694069,0.99230769
0.53750000,0.99230769
0.53806048,0.99230769
0.53862213,0.99230769
0.53918495,0.99230769
0.54144806,0.99230769
0.54201681,0.99230769
0.54258675,0.99230769
0.54315789,0.99230769
0.54373024,0.99230769
0.54430380,0.99230769
0.54487856,0.99230769
0.54439746,0.99038462
0.54497354,0.99038462
0.54555085,0.99038462
0.54612937,0.99038462
0.54729012,0.99038462
0.54787234,0.99038462
0.54845580,0.99038462
0.54797441,0.98846154
0.54855923,0.98846154
0.54914530,0.98846154
0.54973262,0.98846154
0.55032120,0.98846154
0.55091104,0.98846154
0.55150215,0.98846154
0.55209452,0.98846154
0.55268817,0.98846154
0.55328310,0.98846154
0.55387931,0.98846154
0.55447681,0.98846154
0.55567568,0.98846154
0.55627706,0.98846154
0.55687974,0.98846154
0.55748373,0.98846154
0.55808903,0.98846154
0.55930359,0.98846154
0.55991285,0.98846154
0.56052345,0.98846154
0.56113537,0.98846154
0.56174863,0.98846154
0.56126915,0.98653846
0.56188390,0.98653846
0.56250000,0.98653846
0.56311745,0.98653846
0.56373626,0.98653846
0.56435644,0.98653846
0.56497797,0.98653846
0.56560088,0.98653846
0.56622517,0.98653846
0.56685083,0.98653846
0.56747788,0.98653846
0.56810631,0.98653846
0.56873614,0.98653846
0.56936737,0.98653846
0.57063404,0.98653846
0.57126949,0.98653846
0.57190635,0.98653846
0.57254464,0.98653846
0.57318436,0.98653846
0.57382550,0.98653846
0.57446809,0.98653846
0.57511211,0.98653846
0.57575758,0.98653846
0.57640449,0.98653846
0.57705287,0.98653846
0.57770270,0.98653846
0.57835400,0.98653846
0.57900677,0.98653846
0.57966102,0.98653846
0.58031674,0.98653846
0.58097395,0.98653846
0.58163265,0.98653846
0.58229285,0.98653846
0.58295455,0.98653846
0.58361775,0.98653846
0.58428246,0.98653846
0.58494869,0.98653846
0.58447489,0.98461538
0.58514286,0.98461538
0.58581236,0.98461538
0.58648339,0.98461538
0.58715596,0.98461538
0.58783008,0.98461538
0.58850575,0.98461538
0.58918297,0.98461538
0.58870968,0.98269231
0.59006928,0.98269231
0.59075145,0.98269231
0.59143519,0.98269231
0.59212051,0.98269231
0.59349593,0.98269231
0.59418605,0.98269231
0.59487776,0.98269231
0.59440559,0.98076923
0.59509918,0.98076923
0.59579439,0.98076923
0.59532164,0.97884615
0.59671747,0.97884615
0.59741784,0.97884615
0.59811986,0.97884615
0.59882353,0.97884615
0.59952886,0.97884615
0.60023585,0.97884615
0.60094451,0.97884615
0.60165485,0.97884615
0.60236686,0.97884615
0.60308057,0.97884615
0.60379597,0.97884615
0.60595238,0.97884615
0.60667461,0.97884615
0.60739857,0.97884615
0.60812425,0.97884615
0.60885167,0.97884615
0.60958084,0.97884615
0.61031175,0.97884615
0.61104442,0.97884615
0.61177885,0.97884615
0.61251504,0.97884615
0.61325301,0.97884615
0.61399276,0.97884615
0.61473430,0.97884615
0.61547763,0.97884615
0.61501211,0.97692308
0.61575758,0.97692308
0.61529126,0.97500000
0.61603888,0.97500000
0.61678832,0.97500000
0.61753959,0.97500000
0.61829268,0.97500000
0.61904762,0.97500000
0.61980440,0.97500000
0.62056304,0.97500000
0.62132353,0.97500000
0.62208589,0.97500000
0.62285012,0.97500000
0.62361624,0.97500000
0.62438424,0.97500000
0.62392109,0.97307692
0.62469136,0.97307692
0.62546354,0.97307692
0.62623762,0.97307692
0.62701363,0.97307692
0.62779156,0.97307692
0.62857143,0.97307692
0.62935323,0.97307692
0.63013699,0.97307692
0.62967581,0.97115385
0.63046192,0.97115385
0.63125000,0.97115385
0.63204005,0.97115385
0.63283208,0.97115385
0.63362610,0.97115385
0.63442211,0.97115385
0.63522013,0.97115385
0.63602015,0.97115385
0.63682219,0.97115385
0.63762626,0.97115385
0.63843236,0.97115385
0.63924051,0.97115385
0.64005070,0.97115385
0.63959391,0.96923077
0.64040661,0.96923077
0.64122137,0.96923077
0.64203822,0.96923077
0.64285714,0.96923077
0.64367816,0.96923077
0.64450128,0.96923077
0.64532650,0.96923077
0.64615385,0.96923077
0.64569961,0.96730769
0.64652956,0.96730769
0.64736165,0.96730769
0.64819588,0.96730769
0.64903226,0.96730769
0.64987080,0.96730769
0.65071151,0.96730769
0.65155440,0.96730769
0.65239948,0.96730769
0.65324675,0.96730769
0.65409623,0.96730769
0.65494792,0.96730769
0.65449804,0.96538462
0.65535248,0.96538462
0.65620915,0.96538462
0.65706806,0.96538462
0.65792923,0.96538462
0.65879265,0.96538462
0.65965834,0.96538462
0.66052632,0.96538462
0.66139657,0.96538462
0.66226913,0.96538462
0.66182299,0.96346154
0.66269841,0.96346154
0.66357616,0.96346154
0.66312997,0.96153846
0.66401062,0.96153846
0.66489362,0.96153846
0.66577896,0.96153846
0.66666667,0.96153846
0.66755674,0.96153846
0.66844920,0.96153846
0.66934404,0.96153846
0.67024129,0.96153846
0.66979866,0.95961538
0.67069892,0.95961538
0.67160162,0.95961538
0.67250674,0.95961538
0.67206478,0.95769231
0.67297297,0.95769231
0.67388363,0.95769231
0.67479675,0.95769231
0.67571235,0.95769231
0.67663043,0.95769231
0.67619048,0.95576923
0.67574932,0.95384615
0.67667121,0.95384615
0.67759563,0.95384615
0.67715458,0.95192308
0.67808219,0.95192308
0.67764060,0.95000000
0.67857143,0.95000000
0.67950481,0.95000000
0.68044077,0.95000000
0.68000000,0.94807692
0.68093923,0.94807692
0.68188105,0.94807692
0.68282548,0.94807692
0.68377254,0.94807692
0.68472222,0.94807692
0.68567455,0.94807692
0.68662953,0.94807692
0.68758717,0.94807692
0.68854749,0.94807692
0.68951049,0.94807692
0.69047619,0.94807692
0.69144460,0.94807692
0.69241573,0.94807692
0.69198312,0.94615385
0.69295775,0.94615385
0.69393512,0.94615385
0.69491525,0.94615385
0.69589816,0.94615385
0.69688385,0.94615385
0.69645390,0.94423077
0.69744318,0.94423077
0.69701280,0.94230769
0.69800570,0.94230769
0.69757489,0.94038462
0.69857143,0.94038462
0.69957082,0.94038462
0.69914040,0.93846154
0.70014347,0.93846154
0.70114943,0.93846154
0.70215827,0.93846154
0.70317003,0.93846154
0.70418470,0.93846154
0.70520231,0.93846154
0.70622287,0.93846154
0.70724638,0.93846154
0.70827286,0.93846154
0.70930233,0.93846154
0.71033479,0.93846154
0.71137026,0.93846154
0.71240876,0.93846154
0.71345029,0.93846154
0.71303075,0.93653846
0.71407625,0.93653846
0.71512482,0.93653846
0.71617647,0.93653846
0.71723122,0.93653846
0.71828909,0.93653846
0.71935007,0.93653846
0.72041420,0.93653846
0.72148148,0.93653846
0.72106825,0.93461538
0.72213967,0.93461538
0.72172619,0.93269231
0.72280179,0.93269231
0.72388060,0.93269231
0.72496263,0.93269231
0.72604790,0.93269231
0.72563718,0.93076923
0.72672673,0.93076923
0.72781955,0.93076923
0.72891566,0.93076923
0.73001508,0.93076923
0.73111782,0.93076923
0.73071104,0.92884615
0.73030303,0.92692308
0.73141123,0.92692308
0.73100304,0.92500000
0.73059361,0.92307692
