fpr,tpr
0.00000000,0.00000000
0.00000000,0.00186220
0.00000000,0.00558659
0.00185874,0.00558659
0.00185874,0.00931099
0.00371747,0.00931099
0.00371747,0.02048417
0.00743494,0.02048417
0.00743494,0.03351955
0.00929368,0.03351955
0.00929368,0.05959032
0.01115242,0.05959032
0.01115242,0.24767225
0.01301115,0.24767225
0.01301115,0.25512104
0.01486989,0.25512104
0.01486989,0.36499069
0.01672862,0.36499069
0.01672862,0.40782123
0.01858736,0.40782123
0.01858736,0.43761639
0.02044610,0.43761639
0.02044610,0.48975791
0.02230483,0.48975791
0.02230483,0.51024209
0.02416357,0.51024209
0.02416357,0.51582868
0.02602230,0.51582868
0.02602230,0.52513966
0.02973978,0.52513966
0.02973978,0.52886406
0.03159851,0.52886406
0.03159851,0.56052142
0.03345725,0.56052142
0.03345725,0.56983240
0.03531599,0.56983240
0.03531599,0.57355680
0.03903346,0.57355680
0.03903346,0.61080074
0.04089219,0.61080074
0.04089219,0.62942272
0.04275093,0.62942272
0.04275093,0.63314711
0.04460967,0.63314711
0.04460967,0.63500931
0.04832714,0.63500931
0.04832714,0.63687151
0.05018587,0.63687151
0.05018587,0.64059590
0.05204461,0.64059590
0.05204461,0.65363128
0.05390335,0.65363128
0.05390335,0.65735568
0.05576208,0.65735568
0.05576208,0.66480447
0.05947955,0.66480447
0.05947955,0.66666667
0.06133829,0.66666667
0.06133829,0.66852886
0.06505576,0.66852886
0.06505576,0.67783985
0.06691450,0.67783985
0.06691450,0.68528864
0.06877323,0.68528864
0.06877323,0.68901304
0.07249071,0.68901304
0.07249071,0.69273743
0.07434944,0.69273743
0.07434944,0.70577281
0.07806691,0.70577281
0.07806691,0.70763501
0.07992565,0.70763501
0.07992565,0.70949721
0.08364312,0.70949721
0.08364312,0.71880819
0.08550186,0.71880819
0.08550186,0.72439479
0.08736059,0.72439479
0.08736059,0.72811918
0.08921933,0.72811918
0.08921933,0.73184358
0.09107807,0.73184358
0.09107807,0.73556797
0.09479554,0.73556797
0.09479554,0.73743017
0.09665428,0.73743017
0.09665428,0.74115456
0.10223048,0.74115456
0.10223048,0.74860335
0.10408922,0.74860335
0.10408922,0.75046555
0.10780669,0.75046555
0.10780669,0.75977654
0.11338290,0.75977654
0.11338290,0.76163873
0.11710037,0.76163873
0.11710037,0.76350093
0.11895911,0.76350093
0.11895911,0.76722533
0.12081784,0.76722533
0.12081784,0.77094972
0.12267658,0.77094972
0.12267658,0.77281192
0.12453532,0.77281192
0.12453532,0.77467412
0.12825279,0.77467412
0.12825279,0.77839851
0.13011152,0.77839851
0.13011152,0.78026071
0.13197026,0.78026071
0.13197026,0.78398510
0.13382900,0.78398510
0.13382900,0.78957169
0.13568773,0.78957169
0.13568773,0.79515829
0.13754647,0.79515829
0.13754647,0.79888268
0.15613383,0.79888268
0.15613383,0.80446927
0.15799257,0.80446927
0.15799257,0.80819367
0.16356877,0.80819367
0.16356877,0.81005587
0.16728625,0.81005587
0.16728625,0.81191806
0.17100372,0.81191806
0.17100372,0.81378026
0.17472119,0.81378026
0.17472119,0.81750466
0.18029740,0.81750466
0.18029740,0.81936685
0.18215613,0.81936685
0.18215613,0.82122905
0.18587361,0.82122905
0.18587361,0.82681564
0.18959108,0.82681564
0.18959108,0.82867784
0.19330855,0.82867784
0.19330855,0.83054004
0.19516729,0.83054004
0.19516729,0.83240223
0.19702602,0.83240223
0.19702602,0.83426443
0.19888476,0.83426443
0.19888476,0.83612663
0.20074349,0.83612663
0.20074349,0.83798883
0.20446097,0.83798883
0.20446097,0.84171322
0.20631970,0.84171322
0.20631970,0.84357542
0.20817844,0.84357542
0.20817844,0.84543762
0.21375465,0.84543762
0.21375465,0.84729981
0.21561338,0.84729981
0.21561338,0.85102421
0.21747212,0.85102421
0.21747212,0.85288641
0.22304833,0.85288641
0.22304833,0.85661080
0.23234201,0.85661080
0.23234201,0.86405959
0.23605948,0.86405959
0.23605948,0.87150838
0.25836431,0.87150838
0.25836431,0.87337058
0.26022305,0.87337058
0.26022305,0.87523277
0.26208178,0.87523277
0.26208178,0.87709497
0.26765799,0.87709497
0.26765799,0.87895717
0.27323420,0.87895717
0.27323420,0.88081937
0.27509294,0.88081937
0.27509294,0.88268156
0.28996283,0.88268156
0.28996283,0.88640596
0.29368030,0.88640596
0.29368030,0.89199255
0.29925651,0.89199255
0.29925651,0.89571695
0.30111524,0.89571695
0.30111524,0.89757914
0.30297398,0.89757914
0.30297398,0.89944134
0.30483271,0.89944134
0.30483271,0.90316574
0.30669145,0.90316574
0.30669145,0.90502793
0.30855019,0.90502793
0.30855019,0.90689013
0.31226766,0.90689013
0.31226766,0.90875233
0.32342007,0.90875233
0.32342007,0.91061453
0.32899628,0.91061453
0.32899628,0.91247672
0.33085502,0.91247672
0.33085502,0.91433892
0.33828996,0.91433892
0.33828996,0.91806331
0.34200743,0.91806331
0.34200743,0.91992551
0.34758364,0.91992551
0.34758364,0.92178771
0.35130112,0.92178771
0.35130112,0.92364991
0.36431227,0.92364991
0.36431227,0.92551210
0.37360595,0.92551210
0.37360595,0.92923650
0.37546468,0.92923650
0.37546468,0.93109870
0.37918216,0.93109870
0.37918216,0.93296089
0.38104089,0.93296089
0.38104089,0.93482309
0.38475836,0.93482309
0.38475836,0.93668529
0.39962825,0.93668529
0.39962825,0.94413408
0.41078067,0.94413408
0.41078067,0.94599628
0.41449814,0.94599628
0.41449814,0.94972067
0.42193309,0.94972067
0.42193309,0.95158287
0.44052045,0.95158287
0.44052045,0.95530726
0.45539033,0.95530726
0.45539033,0.95716946
0.48327138,0.95716946
0.48327138,0.95903166
0.51301115,0.95903166
0.51301115,0.96275605
0.52044610,0.96275605
0.52044610,0.96461825
0.52416357,0.96461825
0.52416357,0.96648045
0.53531599,0.96648045
0.53531599,0.97020484
0.54089219,0.97020484
0.54089219,0.97392924
0.55762082,0.97392924
0.55762082,0.97579143
0.59479554,0.97579143
0.59479554,0.97765363
0.60037175,0.97765363
0.60037175,0.98137803
0.60594796,0.98137803
0.60594796,0.98324022
0.62453532,0.98324022
0.62453532,0.98510242
0.63382900,0.98510242
0.63382900,0.98696462
0.63568773,0.98696462
0.63568773,0.99068901
0.66171004,0.99068901
0.66171004,0.99255121
0.68029740,0.99255121
0.68029740,0.99627561
0.70446097,0.99627561
0.70446097,0.99813780
0.71189591,0.99813780
0.71561338,0.99813780
0.74349442,0.99813780
0.74721190,0.99813780
0.76208178,0.99813780
0.76765799,0.99813780
0.77509294,0.99813780
0.78066914,0.99813780
0.86245353,0.99813780
0.86617100,0.99813780
0.89962825,0.99813780
0.90334572,0.99813780
0.90892193,0.99813780
0.91263941,0.99813780
0.91821561,0.99813780
0.94237918,0.99813780
0.94609665,0.99813780
0.96096654,0.99813780
0.96468401,0.99813780
0.97583643,0.99813780
0.97955390,0.99813780
0.99628253,0.99813780
1.00000000,0.99813780
1.00000000,1.00000000
