fpr,tpr
0.00000000,0.00000000
0.00000000,0.00186567
0.00000000,0.21828358
0.00000000,0.22201493
0.00000000,0.27611940
0.00185529,0.27611940
0.00185529,0.28731343
0.00371058,0.28731343
0.00371058,0.34514925
0.00556586,0.34514925
0.00556586,0.36007463
0.00927644,0.36007463
0.00927644,0.38619403
0.01113173,0.38619403
0.01113173,0.39365672
0.01298701,0.39365672
0.01298701,0.42164179
0.01484230,0.42164179
0.01484230,0.44776119
0.01855288,0.44776119
0.01855288,0.44962687
0.02040816,0.44962687
0.02040816,0.47014925
0.02226345,0.47014925
0.02226345,0.47947761
0.02411874,0.47947761
0.02411874,0.50000000
0.02597403,0.50000000
0.02597403,0.50746269
0.02782931,0.50746269
0.02782931,0.54664179
0.02968460,0.54664179
0.02968460,0.57276119
0.03339518,0.57276119
0.03339518,0.58208955
0.03525046,0.58208955
0.03525046,0.61194030
0.03710575,0.61194030
0.03710575,0.61940299
0.03896104,0.61940299
0.03896104,0.62313433
0.03896104,0.63246269
0.04081633,0.63246269
0.04081633,0.63619403
0.04452690,0.63619403
0.04452690,0.64179104
0.04638219,0.64179104
0.04638219,0.64365672
0.05009276,0.64365672
0.05009276,0.65111940
0.05194805,0.65111940
0.05194805,0.66604478
0.05751391,0.66604478
0.05751391,0.67350746
0.06307978,0.67350746
0.06307978,0.68097015
0.06679035,0.68097015
0.06679035,0.68656716
0.06864564,0.68656716
0.06864564,0.69029851
0.07235622,0.69029851
0.07235622,0.69962687
0.07421150,0.69962687
0.07421150,0.70149254
0.07606679,0.70149254
0.07606679,0.71455224
0.07792208,0.71455224
0.07792208,0.71641791
0.07977737,0.71641791
0.07977737,0.72201493
0.08163265,0.72201493
0.08163265,0.72388060
0.08534323,0.72388060
0.08534323,0.72761194
0.09090909,0.72761194
0.09090909,0.73507463
0.09647495,0.73507463
0.09647495,0.73694030
0.09833024,0.73694030
0.09833024,0.74626866
0.10389610,0.74626866
0.10389610,0.74813433
0.10760668,0.74813433
0.10760668,0.75746269
0.10946197,0.75746269
0.10946197,0.75932836
0.12059369,0.75932836
0.12059369,0.77238806
0.12615955,0.77238806
0.12615955,0.77425373
0.12987013,0.77425373
0.12987013,0.77798507
0.13914657,0.77798507
0.13914657,0.78171642
0.14100186,0.78171642
0.14100186,0.78917910
0.14471243,0.78917910
0.14471243,0.79104478
0.14842301,0.79104478
0.14842301,0.80037313
0.15027829,0.80037313
0.15027829,0.80597015
0.15398887,0.80597015
0.15398887,0.80970149
0.15584416,0.80970149
0.15584416,0.81156716
0.15769944,0.81156716
0.15769944,0.81343284
0.15955473,0.81343284
0.15955473,0.81902985
0.16512059,0.81902985
0.16512059,0.82835821
0.16697588,0.82835821
0.16697588,0.83022388
0.16883117,0.83022388
0.16883117,0.83208955
0.17068646,0.83208955
0.17068646,0.83395522
0.17254174,0.83395522
0.17254174,0.83582090
0.17996289,0.83582090
0.17996289,0.83768657
0.19480519,0.83768657
0.19480519,0.83955224
0.20222635,0.83955224
0.20222635,0.84141791
0.20408163,0.84141791
0.20408163,0.84701493
0.20964750,0.84701493
0.20964750,0.84888060
0.21335807,0.84888060
0.21335807,0.85261194
0.21521336,0.85261194
0.21521336,0.85447761
0.22077922,0.85447761
0.22077922,0.85820896
0.22077922,0.86007463
0.22448980,0.86007463
0.22448980,0.86194030
0.22634508,0.86194030
0.22634508,0.86380597
0.22820037,0.86380597
0.22820037,0.86567164
0.23376623,0.86567164
0.23376623,0.86753731
0.24304267,0.86753731
0.24304267,0.86940299
0.24675325,0.86940299
0.24675325,0.87126866
0.25602968,0.87126866
0.25602968,0.87686567
0.26345083,0.87686567
0.26345083,0.87873134
0.26530612,0.87873134
0.26530612,0.88059701
0.26716141,0.88059701
0.26716141,0.88246269
0.27272727,0.88246269
0.27272727,0.88992537
0.28014842,0.88992537
0.28014842,0.89552239
0.28385900,0.89552239
0.28385900,0.89925373
0.29313544,0.89925373
0.29313544,0.90111940
0.29684601,0.90111940
0.29684601,0.90298507
0.29870130,0.90298507
0.29870130,0.90485075
0.30426716,0.90485075
0.30426716,0.90671642
0.30612245,0.90671642
0.30612245,0.91231343
0.30797774,0.91231343
0.30797774,0.91417910
0.31354360,0.91417910
0.31354360,0.91604478
0.31539889,0.91604478
0.31539889,0.91977612
0.31910946,0.91977612
0.31910946,0.92164179
0.32096475,0.92164179
0.32096475,0.92350746
0.32282004,0.92350746
0.32282004,0.92723881
0.35250464,0.92723881
0.35250464,0.92910448
0.36363636,0.92910448
0.36363636,0.93283582
0.39703154,0.93283582
0.39703154,0.93470149
0.41929499,0.93470149
0.41929499,0.93656716
0.42115028,0.93656716
0.42115028,0.93843284
0.42300557,0.93843284
0.42300557,0.94029851
0.42671614,0.94029851
0.42671614,0.94216418
0.43413729,0.94216418
0.43413729,0.94589552
0.43599258,0.94589552
0.43599258,0.94776119
0.44155844,0.94776119
0.44155844,0.94962687
0.45083488,0.94962687
0.45083488,0.95149254
0.45269017,0.95149254
0.45269017,0.95522388
0.46567718,0.95522388
0.46567718,0.95895522
0.47680891,0.95895522
0.47680891,0.96082090
0.48423006,0.96082090
