recall,precision
0.49904762,1.00000000
0.49952336,1.00000000
0.50000000,1.00000000
0.50047755,1.00000000
0.50095602,1.00000000
0.50143541,1.00000000
0.50191571,1.00000000
0.50239693,1.00000000
0.50287908,1.00000000
0.50336215,1.00000000
0.50433109,1.00000000
0.50481696,1.00000000
0.50530376,1.00000000
0.50579151,1.00000000
0.50628019,1.00000000
0.50676983,1.00000000
0.50726041,1.00000000
0.50775194,1.00000000
0.50824442,1.00000000
0.50873786,1.00000000
0.50923226,1.00000000
0.50972763,1.00000000
0.51022395,1.00000000
0.51121951,1.00000000
0.51171875,1.00000000
0.51221896,1.00000000
0.51272016,1.00000000
0.51322233,1.00000000
0.51372549,1.00000000
0.51422964,1.00000000
0.51524090,1.00000000
0.51574803,1.00000000
0.51625616,1.00000000
0.51676529,1.00000000
0.51727542,1.00000000
0.51778656,1.00000000
0.51829871,1.00000000
0.51881188,1.00000000
0.51932607,1.00000000
0.51984127,1.00000000
0.52035750,1.00000000
0.52139303,1.00000000
0.52191235,1.00000000
0.52243270,1.00000000
0.52295409,1.00000000
0.52347652,1.00000000
0.52452452,1.00000000
0.52505010,1.00000000
0.52557673,1.00000000
0.52610442,1.00000000
0.52663317,1.00000000
0.52716298,1.00000000
0.52769386,1.00000000
0.52822581,1.00000000
0.52875883,1.00000000
0.52929293,1.00000000
0.52982811,1.00000000
0.53036437,1.00000000
0.53090172,1.00000000
0.53144016,1.00000000
0.53197970,1.00000000
0.53252033,1.00000000
0.53306205,1.00000000
0.53360489,1.00000000
0.53414883,1.00000000
0.53469388,1.00000000
0.53524004,1.00000000
0.53578732,1.00000000
0.53633572,1.00000000
0.53688525,1.00000000
0.53743590,1.00000000
0.53798768,1.00000000
0.53854060,1.00000000
0.53909465,1.00000000
0.53964985,1.00000000
0.54020619,1.00000000
0.54076367,1.00000000
0.54132231,1.00000000
0.54244306,1.00000000
0.54300518,1.00000000
0.54356846,1.00000000
0.54413292,1.00000000
0.54469854,1.00000000
0.54526535,1.00000000
0.54583333,1.00000000
0.54640250,1.00000000
0.54697286,1.00000000
0.54754441,1.00000000
0.54811715,1.00000000
0.54869110,1.00000000
0.54926625,1.00000000
0.54984260,1.00000000
0.55042017,1.00000000
0.55099895,1.00000000
0.55157895,1.00000000
0.55216017,1.00000000
0.55274262,1.00000000
0.55332629,1.00000000
0.55391121,1.00000000
0.55449735,1.00000000
0.55508475,1.00000000
0.55567338,1.00000000
0.55626327,1.00000000
0.55744681,1.00000000
0.55804047,1.00000000
0.55863539,1.00000000
0.55982906,1.00000000
0.56042781,1.00000000
0.56102784,1.00000000
0.56162915,1.00000000
0.56223176,1.00000000
0.56283566,1.00000000
0.56344086,1.00000000
0.56404736,1.00000000
0.56465517,1.00000000
0.56526429,1.00000000
0.56587473,1.00000000
0.56648649,1.00000000
0.56709957,1.00000000
0.56771398,1.00000000
0.56832972,1.00000000
0.56894680,1.00000000
0.56956522,1.00000000
0.57018498,1.00000000
0.57080610,1.00000000
0.57142857,1.00000000
0.57205240,1.00000000
0.57267760,1.00000000
0.57330416,1.00000000
0.57393209,1.00000000
0.57456140,1.00000000
0.57519210,1.00000000
0.57582418,1.00000000
0.57645765,1.00000000
0.57709251,1.00000000
0.57772878,1.00000000
0.57836645,1.00000000
0.57900552,1.00000000
0.57964602,1.00000000
0.58028793,1.00000000
0.58157603,1.00000000
0.58222222,1.00000000
0.58286986,1.00000000
0.58351893,1.00000000
0.58416945,1.00000000
0.58547486,1.00000000
0.58612975,1.00000000
0.58678611,1.00000000
0.58744395,1.00000000
0.58810325,1.00000000
0.58876404,1.00000000
0.58942632,1.00000000
0.59009009,1.00000000
0.59142212,1.00000000
0.59209040,1.00000000
0.59276018,1.00000000
0.59343148,1.00000000
0.59410431,1.00000000
0.59477866,1.00000000
0.59385666,0.99618321
0.59339408,0.99427481
0.59293044,0.99236641
0.59246575,0.99045802
0.59314286,0.99045802
0.59382151,0.99045802
0.59335624,0.98854962
0.59403670,0.98854962
0.59357061,0.98664122
0.59425287,0.98664122
0.59331797,0.98282443
0.59284890,0.98091603
0.59353349,0.98091603
0.59421965,0.98091603
0.59490741,0.98091603
0.59443801,0.97900763
0.59396752,0.97709924
0.59349593,0.97519084
0.59418605,0.97519084
0.59487776,0.97519084
0.59557110,0.97519084
0.59626604,0.97519084
0.59696262,0.97519084
0.59766082,0.97519084
0.59836066,0.97519084
0.59906213,0.97519084
0.59976526,0.97519084
0.60047004,0.97519084
0.60117647,0.97519084
0.60188457,0.97519084
0.60259434,0.97519084
0.60330579,0.97519084
0.60401891,0.97519084
0.60355030,0.97328244
0.60426540,0.97328244
0.60498221,0.97328244
0.60570071,0.97328244
0.60642093,0.97328244
0.60714286,0.97328244
0.60667461,0.97137405
0.60620525,0.96946565
0.60573477,0.96755725
0.60645933,0.96755725
0.60598802,0.96564885
0.60671463,0.96564885
0.60744298,0.96564885
0.60817308,0.96564885
0.60890493,0.96564885
0.60963855,0.96564885
0.61037394,0.96564885
0.60990338,0.96374046
0.60943168,0.96183206
0.60895884,0.95992366
0.60969697,0.95992366
0.61043689,0.95992366
0.61117861,0.95992366
0.61070560,0.95801527
0.61144945,0.95801527
0.61219512,0.95801527
0.61294261,0.95801527
0.61369193,0.95801527
0.61321909,0.95610687
0.61274510,0.95419847
0.61349693,0.95419847
0.61425061,0.95419847
0.61377614,0.95229008
0.61330049,0.95038168
0.61282367,0.94847328
0.61358025,0.94847328
0.61433869,0.94847328
0.61386139,0.94656489
0.61462206,0.94656489
0.61538462,0.94656489
0.61614907,0.94656489
0.61691542,0.94656489
0.61768369,0.94656489
0.61845387,0.94656489
0.61922597,0.94656489
0.62000000,0.94656489
0.62077597,0.94656489
0.62155388,0.94656489
0.62233375,0.94656489
0.62311558,0.94656489
0.62389937,0.94656489
0.62468514,0.94656489
0.62547289,0.94656489
0.62626263,0.94656489
0.62705436,0.94656489
0.62784810,0.94656489
0.62864385,0.94656489
0.62944162,0.94656489
0.63024142,0.94656489
0.63104326,0.94656489
0.63057325,0.94465649
0.63137755,0.94465649
0.63043478,0.94083969
0.62948718,0.93702290
0.63029525,0.93702290
0.62982005,0.93511450
0.63063063,0.93511450
0.63144330,0.93511450
0.63225806,0.93511450
0.63307494,0.93511450
0.63389392,0.93511450
0.63471503,0.93511450
0.63553826,0.93511450
0.63636364,0.93511450
0.63719116,0.93511450
0.63671875,0.93320611
0.63624511,0.93129771
0.63707572,0.93129771
0.63790850,0.93129771
0.63874346,0.93129771
