fpr,tpr
0.00000000,0.00000000
0.00000000,0.00948767
0.00000000,0.18595825
0.00191205,0.18595825
0.00191205,0.29601518
0.00382409,0.29601518
0.00382409,0.34155598
0.00573614,0.34155598
0.00573614,0.38899431
0.00764818,0.38899431
0.00764818,0.43833017
0.00956023,0.43833017
0.00956023,0.48387097
0.01338432,0.48387097
0.01338432,0.48766603
0.01529637,0.48766603
0.01529637,0.51612903
0.01720841,0.51612903
0.01720841,0.52182163
0.01912046,0.52182163
0.01912046,0.52941176
0.02103250,0.52941176
0.02103250,0.53130930
0.02294455,0.53130930
0.02294455,0.53700190
0.02485660,0.53700190
0.02485660,0.56166983
0.02676864,0.56166983
0.02676864,0.56925996
0.02868069,0.56925996
0.02868069,0.57685009
0.03059273,0.57685009
0.03059273,0.58444023
0.03250478,0.58444023
0.03250478,0.59582543
0.03441683,0.59582543
0.03441683,0.59772296
0.03632887,0.59772296
0.03632887,0.60531309
0.03824092,0.60531309
0.03824092,0.61669829
0.04206501,0.61669829
0.04206501,0.62808349
0.04397706,0.62808349
0.04397706,0.64516129
0.04588910,0.64516129
0.04588910,0.65844402
0.05162524,0.65844402
0.05162524,0.66793169
0.05353728,0.66793169
0.05353728,0.66982922
0.05736138,0.66982922
0.05736138,0.68500949
0.05927342,0.68500949
0.05927342,0.71347249
0.06118547,0.71347249
0.06118547,0.72675522
0.06309751,0.72675522
0.06309751,0.73055028
0.06500956,0.73055028
0.06500956,0.73244782
0.07074570,0.73244782
0.07074570,0.73624288
0.07265774,0.73624288
0.07265774,0.74003795
0.07456979,0.74003795
0.07456979,0.74573055
0.07456979,0.74952562
0.07648184,0.74952562
0.07648184,0.76470588
0.07839388,0.76470588
0.07839388,0.77039848
0.08030593,0.77039848
0.08030593,0.77988615
0.08221797,0.77988615
0.08221797,0.78747628
0.08986616,0.78747628
0.08986616,0.79127135
0.09560229,0.79127135
0.09560229,0.79506641
0.09751434,0.79506641
0.09751434,0.79696395
0.10133843,0.79696395
0.10133843,0.80075901
