fpr,tpr
0.00000000,0.00000000
0.00000000,0.00763359
0.00000000,0.02862595
0.00190114,0.02862595
0.00190114,0.17175573
0.00380228,0.17175573
0.00380228,0.21374046
0.00570342,0.21374046
0.00570342,0.22328244
0.00760456,0.22328244
0.00760456,0.31297710
0.00950570,0.31297710
0.00950570,0.32061069
0.01140684,0.32061069
0.01140684,0.33587786
0.01330798,0.33587786
0.01330798,0.33778626
0.01520913,0.33778626
0.01520913,0.37786260
0.01711027,0.37786260
0.01711027,0.37977099
0.01901141,0.37977099
0.01901141,0.39885496
0.02091255,0.39885496
0.02091255,0.43702290
0.02281369,0.43702290
0.02281369,0.44847328
0.02471483,0.44847328
0.02471483,0.45038168
0.02661597,0.45038168
0.02661597,0.48854962
0.03041825,0.48854962
0.03041825,0.50190840
0.03231939,0.50190840
0.03231939,0.57633588
0.03612167,0.57633588
0.03612167,0.60877863
0.03802281,0.60877863
0.03802281,0.61641221
0.04182510,0.61641221
0.04182510,0.62595420
0.04372624,0.62595420
0.04372624,0.63167939
0.04562738,0.63167939
0.04562738,0.63931298
0.04752852,0.63931298
0.04752852,0.64503817
0.04942966,0.64503817
0.04942966,0.65076336
0.05133080,0.65076336
0.05133080,0.65458015
0.05323194,0.65458015
0.05323194,0.66030534
0.05703422,0.66030534
0.05703422,0.66793893
0.05893536,0.66793893
0.05893536,0.68129771
0.06273764,0.68129771
0.06273764,0.68320611
0.06463878,0.68320611
0.06463878,0.69274809
0.06844106,0.69274809
0.06844106,0.69656489
0.07414449,0.69656489
0.07414449,0.70419847
0.07604563,0.70419847
0.07604563,0.70610687
0.08174905,0.70610687
0.08174905,0.70992366
0.08365019,0.70992366
0.08365019,0.71564885
0.08555133,0.71564885
0.08555133,0.72137405
0.08935361,0.72137405
0.08935361,0.72328244
0.09315589,0.72328244
0.09315589,0.73282443
0.10456274,0.73282443
0.10456274,0.73854962
0.10646388,0.73854962
0.10646388,0.74045802
0.10836502,0.74045802
0.10836502,0.74809160
0.11216730,0.74809160
0.11216730,0.75000000
